,Faculty,Position,Gender,Management,Area,Excellence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Chan Syin,Associate Professor,F,N,Computer Networks,0,[],[],[],[],"['Chia Liang Tien Clement', 'Deepu Rajan']",['Chia Liang Tien Clement'],[],['Chia Liang Tien Clement'],['Chia Liang Tien Clement'],[],[],['Lau Chiew Tong'],['Lau Chiew Tong'],['Lau Chiew Tong'],['Lau Chiew Tong'],['Lau Chiew Tong'],['Lau Chiew Tong'],['Lau Chiew Tong'],[],[],"['Lau Chiew Tong', 'Lee Bu Sung Francis']",[]
11,Chia Liang Tien Clement,Associate Professor,M,N,Multimedia,7,[],['Lee Bu Sung Francis'],[],"['Deepu Rajan', 'Lee Bu Sung Francis']","['Lee Bu Sung Francis', 'Chan Syin', 'Sourav S Bhowmick', 'Deepu Rajan', 'Cai Jianfei']","['Lee Bu Sung Francis', 'Deepu Rajan', 'Sourav S Bhowmick', 'Chan Syin']","['Sourav S Bhowmick', 'Deepu Rajan', 'Cai Jianfei', 'Lee Bu Sung Francis']","['Sourav S Bhowmick', 'Chan Syin', 'Deepu Rajan', 'Yeo Chai Kiat', 'Cham Tat Jen', 'Cai Jianfei']","['Deepu Rajan', 'Chan Syin', 'Tan Ah Hwee']","['Deepu Rajan', 'Tan Ah Hwee', 'Cai Jianfei']","['Deepu Rajan', 'Tan Ah Hwee', 'Cham Tat Jen', 'Lin Weisi']",[],"['Tan Ah Hwee', 'Lin Weisi', 'Deepu Rajan']",['Deepu Rajan'],[],[],[],['Quek Hiok Chai'],[],"['Lee Bu Sung Francis', 'Yeo Chai Kiat']",[],['Deepu Rajan']
12,Chng Eng Siong,Associate Professor,M,N,AI/ML,0,[],[],[],[],['Guan Cuntai'],[],[],[],['Goh Wooi Boon'],['Deepu Rajan'],[],[],[],['Lee Bu Sung Francis'],[],['Erik Cambria'],[],"['Shen Zhiqi', 'Miao Chunyan']",[],[],['Sun Aixin'],[]
13,Cong Gao,Professor,M,N,Data Mining,31,[],[],[],[],[],[],[],[],[],[],[],[],"['Sun Aixin', 'Miao Chunyan', 'Hui Siu Cheung']","['Sun Aixin', 'Seah Hock Soon']","['Sun Aixin', 'Sourav S Bhowmick']",['Sun Aixin'],"['Miao Chunyan', 'Sun Aixin', 'Sourav S Bhowmick']","['Miao Chunyan', 'Sourav S Bhowmick', 'Bo An', 'Sun Aixin']","['Sourav S Bhowmick', 'Sun Aixin', 'Joty Shafiq Rayhan', 'Arijit Khan', 'Long Cheng']","['Long Cheng', 'Sun Aixin']","['Long Cheng', 'Sourav S Bhowmick', 'Arijit Khan']",[]
14,Deepu Rajan,Associate Professor,M,N,Computer Vision,9,[],[],[],['Chia Liang Tien Clement'],"['Chia Liang Tien Clement', 'Chan Syin']",['Chia Liang Tien Clement'],"['Chia Liang Tien Clement', 'Cai Jianfei', 'Lee Bu Sung Francis']","['Chia Liang Tien Clement', 'Cham Tat Jen', 'Cai Jianfei']",['Chia Liang Tien Clement'],"['Chia Liang Tien Clement', 'Tan Ah Hwee', 'Chng Eng Siong']",['Chia Liang Tien Clement'],[],['Chia Liang Tien Clement'],['Chia Liang Tien Clement'],[],[],"['Lee Bu Sung Francis', 'Quek Hiok Chai']",['Quek Hiok Chai'],['Quek Hiok Chai'],"['Lee Bu Sung Francis', 'Quek Hiok Chai']",['Quek Hiok Chai'],['Chia Liang Tien Clement']
15,Douglas Leslie Maskell,Associate Professor,M,N,Computer Architecture,0,[],[],[],[],[],[],"['Thambipillai Srikanthan', 'Quek Hiok Chai']","['Quek Hiok Chai', 'Thambipillai Srikanthan', 'Goh Wooi Boon']",[],[],['Quek Hiok Chai'],['Quek Hiok Chai'],[],['Quek Hiok Chai'],[],['Quek Hiok Chai'],[],[],[],[],[],[]
16,Dusit Niyato,Professor,M,N,Computer Networks,0,[],[],[],[],[],[],[],[],[],['Lee Bu Sung Francis'],"['Yu Han', 'Shen Zhiqi', 'Miao Chunyan', 'Lee Bu Sung Francis']","['Cai Jianfei', 'Lee Bu Sung Francis']",['Lee Bu Sung Francis'],[],"['Lee Bu Sung Francis', 'Wen Yonggang', 'Zhang Jie', 'A S Madhukumar']",['Wen Yonggang'],"['Zhang Jie', 'A S Madhukumar']","['Wen Yonggang', 'Bo An', 'Miao Chunyan', 'Zhang Jie', 'Luo Jun', 'Tan Rui']","['Luo Jun', 'Tan Rui', 'Wen Yonggang', 'Zhao Jun']","['Wen Yonggang', 'Luo Jun', 'Zhao Jun', 'Yu Han', 'Tan Rui', 'Miao Chunyan', 'Lam Kwok Yan']","['Miao Chunyan', 'Yu Han', 'Zhao Jun', 'Wen Yonggang', 'Lam Kwok Yan']","['Zhao Jun', 'Lam Kwok Yan', 'Tan Rui']"
17,Erik Cambria,Associate Professor,M,N,AI/ML,3,[],[],[],[],[],[],[],[],[],[],[],[],[],['Ong Yew Soon'],[],['Chng Eng Siong'],['Ong Yew Soon'],"['Anupam Chattopadhyay', 'Sun Aixin']",['Rajapakse Jagath Chandana'],[],['Ong Yew Soon'],[]
18,Goh Wooi Boon,Associate Professor,M,N,HCI,9,[],[],[],[],[],[],[],"['Douglas Leslie Maskell', 'Thambipillai Srikanthan', 'Vun Chan Hua Nicholas']",['Chng Eng Siong'],[],[],[],[],[],[],[],[],"['Quek Hiok Chai', 'Guan Cuntai']",['Guan Cuntai'],"['Guan Cuntai', 'Tan Kheng Leong']",[],[]
19,Guan Cuntai,Professor,M,N,AI/ML,0,[],[],[],[],['Chng Eng Siong'],[],[],[],"['Quek Hiok Chai', 'Lu Shijian']","['Lau Chiew Tong', 'Quek Hiok Chai']","['Lau Chiew Tong', 'Quek Hiok Chai']","['Quek Hiok Chai', 'Pan Sinno Jialin']",['Quek Hiok Chai'],['Quek Hiok Chai'],"['Quek Hiok Chai', 'Kwoh Chee Keong']",['Quek Hiok Chai'],[],['Goh Wooi Boon'],['Goh Wooi Boon'],['Goh Wooi Boon'],"['Anupam Chattopadhyay', 'Quek Hiok Chai']",[]
